index_entry_id,assertion_id,index_kind,index_url,ordinal,label,state_abbr,year,expected_group_count,record_url,record_url_aliases,record_http_status,record_sha256,record_cache_path,has_link,linked_url_http_success,assertion_detail_http_status,has_successful_detail
iccra_idx_306f6b02bb7be61e,iccra_1fa3de87e97d8063,by_state_page,https://iccra.org/bystate/Arkansas/ICCRA_AR.htm,1,"Elkins, Washington County [Elking] (1955)",AR,1955,5,"https://iccra.org/bystate/Arkansas/ICCRA%20-%20AR%20-%20Elkins-Elking,%A0Washington%20County(1955).htm","https://iccra.org/bystate/Arkansas/ICCRA%20-%20AR%20-%20Elkins-Elking,%A0Washington%20County(1955).htm;https://iccra.org/bystate/Arkansas/ICCRA%20-%20AR%20-%20Elkins-Elking,%C2%A0Washington%20County(1955).htm",200,2eecfca5955c2f2b4958828b81287b0bf70eaccf36c578a6806e9d895b652b5e,data/raw/iccra_full/objects/6cb371b301fd49f49917c29f6b29deb44a4200a64104940d7db3ec288b138af3.htm,True,True,200,True
iccra_idx_536d83ea07ee12f9,iccra_ba2d9ced60fe372c,by_state_page,https://iccra.org/bystate/Arkansas/ICCRA_AR.htm,2,"[Unknown], (May 2003)",AR,2003,5,"https://iccra.org/bystate/Arkansas/ICCRA%20-%20AR%20-%20%5BUnknown%5D,%20(May%202003).html","https://iccra.org/bystate/Arkansas/ICCRA%20-%20AR%20-%20%5BUnknown%5D,%20(May%202003).html",200,6dc6bc54df1d57039c1909acb7cea1841ec57ab259a45d30bc6506ec99fdf05c,data/raw/iccra_full/objects/ec28b70218624f254d07abcdf75aa99ac0d5a663c69bdf80f6782568edb0f991.html,True,True,200,True
iccra_idx_d73718218dfbc9f8,iccra_2426a774b4821032,by_state_page,https://iccra.org/bystate/Arkansas/ICCRA_AR.htm,3,"Knobel, Clay County (June 8, 2003)",AR,2003,5,"https://iccra.org/bystate/Arkansas/ICCRA%20-%20AR%20-%20Knobel,%20Clay%20County%20(June%208,%202003).html","https://iccra.org/bystate/Arkansas/ICCRA%20-%20AR%20-%20Knobel,%20Clay%20County%20(June%208,%202003).html",200,f08ce7f2f71db470a83e7ad1b16b505a665c979d6707a937cc595e0c6f6a0ebe,data/raw/iccra_full/objects/e6cb11459962d8312e9085354cda836e1268f36765a23a6751cbb78b39803fc6.html,True,True,200,True
iccra_idx_393ea4ed7e0fdfb8,iccra_2fe58cae09f0241c,by_state_page,https://iccra.org/bystate/Arkansas/ICCRA_AR.htm,4,"Peach Orchard, Clay County (May 26, 2004)",AR,2004,5,"https://iccra.org/bystate/Arkansas/ICCRA%20-%20AR%20-%20Peach%20Orchard,%20Clay%20County%20(May%2026,%202004).html","https://iccra.org/bystate/Arkansas/ICCRA%20-%20AR%20-%20Peach%20Orchard,%20Clay%20County%20(May%2026,%202004).html",200,501a0ca268d3ebf8a7858944896b1a2bb1f03ac4f3cc8b92def4bd6fc01a98c0,data/raw/iccra_full/objects/89c0e64041b3e1252fd0ca7318b943dc6bd0691afe0dc4b224af32a4a7df4ddc.html,True,True,200,True
iccra_idx_fbbc06c819a77690,iccra_c8c156053ac15fb1,by_state_page,https://iccra.org/bystate/Arkansas/ICCRA_AR.htm,5,"(Northeastern) [*Location withheld by BLT, Inc.], (June 14, 2007)",AR,2007,5,,,,,,False,False,,False
iccra_idx_7317afcc5d0b5028,iccra_efcae38eb9881015,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,1,"Mt. Palomar Observatory, Palomar Mountain, Cleveland National Forest, San Diego County (1955)",CA,1955,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Mt%20Palomar%20Observatory,%20San%20Diego%20County%20(Summer%201955).htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Mt%20Palomar%20Observatory,%20San%20Diego%20County%20(Summer%201955).htm",200,ec334ededcd02f186c3b96690fb21bd42b9513af590e928499b34f91be498a28,data/raw/iccra_full/objects/dbaf6d383dfbbe9d3ea21654fc98c609ea3ca581b6fce673c07921f66344ce1b.htm,True,True,200,True
iccra_idx_3471eb7b5a099a31,iccra_23bad7fb9a75fe38,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,2,"Lemon Grove, San Diego County (November 16, 1973)",CA,1973,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Lemon%20Grove,%20San%20Diego%20County%20(November%2016,%201973).htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Lemon%20Grove,%20San%20Diego%20County%20(November%2016,%201973).htm",200,3b669617410eb27aba20ccbf7f98b43b775c1daf8dec705eb97978182a81771c,data/raw/iccra_full/objects/a755bf4c65be468c9ea40b44cf04ddfb1f2bfc8717dba50c93119816b545c697.htm,True,True,200,True
iccra_idx_16b130d6d0cd01a2,iccra_1d6b13b7c4d1d3d4,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,3,"Point Dume State Preserve, Malibu, Los Angeles County (1973)",CA,1973,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Point%20Dume%20State%20Preserve,%20Malibu,%20Los%20Angeles%20County%20(1973).htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Point%20Dume%20State%20Preserve,%20Malibu,%20Los%20Angeles%20County%20(1973).htm",200,56d878a7ab87fbc343564c73deb7aba4ad0eca23847eaf149acc5a4a70145704,data/raw/iccra_full/objects/2a7611af06709d887087ba5fc158a8899a7141c4d9145c1bba3cbf87f41814a1.htm,True,True,200,True
iccra_idx_87565960204c5ac9,iccra_8df387210c5f197c,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,4,"[Unknown] (somewhere north of Los Angeles), (1975)",CA,1975,25,https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20%5BUnknown%5D%20(somewhere%20north%20of%20Los%20Angeles)%20(1975).htm,https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20%5BUnknown%5D%20(somewhere%20north%20of%20Los%20Angeles)%20(1975).htm,200,eda57333d5c698f65fa3ebfa65af1bd801f46b9a8beae9a63d8a51c4519a7ca4,data/raw/iccra_full/objects/aff56d17e6c36d4e235f33e21eb4b4fff1127403842288b6652b09fdd8d963aa.htm,True,True,200,True
iccra_idx_15869368507827d9,iccra_384ba4a9a5b89694,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,5,"Lake Port, Lake County (1976)",CA,1976,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Lake%20Port,%20Lake%20County%20(1976).htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Lake%20Port,%20Lake%20County%20(1976).htm",200,248cac4e0a765ba39e340d543646741b6ee51ca4dade3e200164658def516a00,data/raw/iccra_full/objects/31566262c117df6e3e045657101e6fea74f47de93aea638e4dc55f6ebe9535ed.htm,True,True,200,True
