"url","retrieved_at","http_status","sha256","bytes","cache_path"
"https://iccra.org/byyear/ICCRA_1969.htm","2026-07-21T06:41:14Z","200","391c4746b0509b70d92bc579e9261ae5d4aa7a5a68591de9e716be96171d1570","4844","iccra/byyear/ICCRA_1969.htm"
"https://iccra.org/byyear/ICCRA_1970.htm","2026-07-21T06:41:14Z","200","c033799504326ac5737a8721aa4f206ba14cbb98ee566f8ebc8343613e66a0d3","4350","iccra/byyear/ICCRA_1970.htm"
"https://iccra.org/byyear/ICCRA_1971.htm","2026-07-21T06:41:14Z","200","8a3965351f817c3792df86f9d3f45cb03755ab46f6367bffc1c88a9b34b549d0","4589","iccra/byyear/ICCRA_1971.htm"
"https://iccra.org/byyear/ICCRA_1972.htm","2026-07-21T06:41:14Z","200","809af6f307208cddbbc3ed951f2b5212f073b7e6a526a1edde64238b62213cbe","6526","iccra/byyear/ICCRA_1972.htm"
"https://iccra.org/byyear/ICCRA_1973.htm","2026-07-21T06:41:14Z","200","40f4b8b2e86173170bc54b54a7d5525dc3a4f5bd108be662a01b196d6b9f62fc","7321","iccra/byyear/ICCRA_1973.htm"
"https://iccra.org/byyear/ICCRA_1974.htm","2026-07-21T06:41:14Z","200","60521cdca2466d790883ca9c7a37b1b4c2c864d483a1f197d61bc0a41ab95d2e","4593","iccra/byyear/ICCRA_1974.htm"
"https://iccra.org/byyear/ICCRA_1975.htm","2026-07-21T06:41:14Z","200","07189e0c75807f8ded2df5b99a378c61880dc76f97b3c2c6cd52bc4d521fb89d","6875","iccra/byyear/ICCRA_1975.htm"
"https://iccra.org/byyear/ICCRA_1976.htm","2026-07-21T06:41:14Z","200","d83be7db8a9fc848da5ebf302f2eff47830599e1521a7f9f8bfb3fba927069c4","4275","iccra/byyear/ICCRA_1976.htm"
"https://iccra.org/byyear/ICCRA_1977.htm","2026-07-21T06:41:14Z","200","4a571fe21c2df21b098b7d949f57212c2608bfb7e2604fa62b4c32f57366ff04","4815","iccra/byyear/ICCRA_1977.htm"
"https://iccra.org/byyear/ICCRA_1978.htm","2026-07-21T06:41:14Z","200","d4f880cf9a713fba7810f673b1ba467131d6a06c4f4490f4c860be739a179611","5046","iccra/byyear/ICCRA_1978.htm"
"https://iccra.org/byyear/ICCRA_1979.htm","2026-07-21T06:41:14Z","200","aa6ea14588115b5c546c990ba4a20492b0a52436dec9022e014b0a2ff4d527b0","4686","iccra/byyear/ICCRA_1979.htm"
"https://iccra.org/byyear/ICCRA_1980.htm","2026-07-21T06:41:14Z","200","75fdf8b84972539f2d21322eb937010130ba80f9e3da86897184af35116ff3e1","4320","iccra/byyear/ICCRA_1980.htm"
