candidate_id,assertion_id,source_name,source_page,source_slot,year,month,day,date_iso,place,region,country,country_code,crop_box_px,page_width_px,page_height_px,diagram_status,straight_component_tier,straight_component_candidate,detector_score,dominant_axis_image_deg,axis_uncertainty_deg,axis_candidates_image_deg,line_segment_count,max_segment_length_px,dominant_support_length_px,dominant_support_fraction,ink_pixels,mid_gray_pixels,dark_to_mid_ratio,dark_component_count,largest_dark_component_px,axis_reference,geographic_azimuth_qualified,caveat,detector_version,source_pdf_sha256
sc_951e02835b69028f,a_503ead0ca6a97f,Crop Circle Center PDF catalog,1,12,1890,,,1890,Thurso,Highlands,Scotland,GB,"921,670,1241,890",1241,1754,no_diagram,none,no,0.000,,,,2,16.3,32.5,1.000,826,2801,0.295,71,42,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_b9922b571c8d3d4f,a_a2de847aa14025,Crop Circle Center PDF catalog,1,13,1904,,,1904,Tilshead,Wiltshire,England,GB,"0,1000,320,1205",1241,1754,diagram,none,no,0.338,57.0,2.0,57.0;124.9;31.5;12.6,20,21.9,61.4,0.168,6534,6627,0.986,5,1601,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_769fe6bf45608597,a_0db4f246095de8,Crop Circle Center PDF catalog,1,14,1910,10,,1910-10,Fencott,Oxfordshire,England,GB,"300,1000,631,1205",1241,1754,diagram,none,no,0.377,74.2,0.1,74.2;114.4;14.8;164.3,8,27.4,43.4,0.238,4531,4584,0.988,3,4149,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_a2a759344642f4e3,a_b3f032fb437e4d,Crop Circle Center PDF catalog,1,15,1914,,,1914,Maiden Bradley,Buckinghamshire,England,GB,"610,1000,941,1205",1241,1754,no_diagram,none,no,0.000,,,,2,16.3,32.5,1.000,845,2907,0.291,70,53,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_32b657dccbe16b0e,a_c5c961fc7cc56c,Crop Circle Center PDF catalog,1,16,1918,6,,1918-06,Bilsington,Kent,England,GB,"921,1000,1241,1205",1241,1754,diagram,none,no,0.294,118.6,0.0,118.6;134.9;96.6;173.4,9,28.5,28.5,0.131,4159,4195,0.991,1,4159,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_26a2688920ed8c1e,a_cd61d6b94a7a31,Crop Circle Center PDF catalog,1,17,1920,6,3,1920-06-03,Mount Pleasant,Iowa,United States,US,"0,1330,320,1530",1241,1754,diagram,low,yes,0.461,63.8,1.8,63.8;146.7;123.8;106.4,8,30.2,57.6,0.298,4142,4192,0.988,1,4142,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_5e697111d6ba13e9,a_8b0e3241be0579,Crop Circle Center PDF catalog,1,18,1920,,,1920,Kius,Schleswig-Holstein,Germany,DE,"300,1330,631,1530",1241,1754,diagram,low,yes,0.349,1.6,1.8,1.6;64.9;114.0;144.2,9,30.2,36.4,0.175,4145,4187,0.990,1,4145,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_8491c59b871e7908,a_791b248ffbfa66,Crop Circle Center PDF catalog,1,19,1920,,,1920,Kius,Schleswig-Holstein,Germany,DE,"610,1330,941,1530",1241,1754,diagram,low,yes,0.423,74.4,1.9,74.4;121.0;110.5;32.5,8,30.9,50.1,0.251,4145,4188,0.990,1,4145,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_6ceca1271230005d,a_1749ba7e3a295b,Crop Circle Center PDF catalog,1,20,1922,,,1922,Chilcomb,Hampshire,England,GB,"921,1330,1241,1530",1241,1754,diagram,none,no,0.379,26.0,1.9,26.0;146.4;124.3;58.4,8,28.8,41.9,0.222,4141,4192,0.988,1,4141,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_0dab03e263bc768b,a_a3fc41aae60ad3,Crop Circle Center PDF catalog,2,1,1924,,,1924,Devizes,Wiltshire,England,GB,"0,10,320,230",1241,1754,no_diagram,none,no,0.000,,,,0,0.0,0.0,0.000,658,2248,0.293,90,49,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_fa65d3c163dd24d1,a_f1e6a56e8d2aa1,Crop Circle Center PDF catalog,2,2,1925,,,1925,Leshore,Alberta,Canada,CA,"300,10,631,230",1241,1754,no_diagram,none,no,0.000,,,,0,0.0,0.0,0.000,634,2234,0.284,78,37,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
