"discovered_from","url","role","anchor_text"
"https://iccra.org/bystate/Arkansas/ICCRA_AR.htm","https://iccra.org/bystate/Arkansas/ICCRA%20-%20AR%20-%20Knobel,%20Clay%20County%20(June%208,%202003).html","formation_detail","Knobel, Clay County (June 8, 2003)"
"https://iccra.org/bystate/Arkansas/ICCRA_AR.htm","https://iccra.org/bystate/Arkansas/ICCRA%20-%20AR%20-%20Peach%20Orchard,%20Clay%20County%20(May%2026,%202004).html","formation_detail","Peach Orchard, Clay County (May 26, 2004)"
"https://iccra.org/bystate/Arkansas/ICCRA_AR.htm","https://iccra.org/bystate/Michigan/images/map_key.jpg","archive_image","embedded:"
"https://iccra.org/bystate/Arkansas/ICCRA_AR.htm","https://iccra.org/bystate/Ohio/images/miamisburg.JPG","archive_image","embedded:"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Cordelia-Fairfield,%20Solano%20County%20(July%2016,%202004).html","https://iccra.org/bystate/California/images/cordelia2004a.gif","formation_image","embedded: formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Cordelia-Fairfield,%20Solano%20County%20(July%2016,%202004).html","https://iccra.org/bystate/California/images/cordelia2004b.jpg","formation_image","embedded: formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Fairfield,%20Solano%20County%20(July%2011,%202003).html","https://iccra.org/bystate/California/images/fairfield2003.jpg","formation_image","embedded: formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Fresno,%20Fresno%20County%20(August%2011,%202002.html","https://iccra.org/bystate/California/images/fresno2002.jpg","formation_image","embedded: formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Gilroy,%20Santa%20Clara%20County%20(August%2010,%201996).html","https://iccra.org/bystate/California/images/Gilroy1996.jpg","formation_image","embedded: Gilroy Pease Sign"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Greenfield,%20Monterey%20County-Bakersfield,%20Kern%20County%20(June%2022,%202010).html","https://iccra.org/bystate/California/images/greenfield1.jpg","formation_image","embedded: Bakersfield, CA Hoax"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Hidden%20Valley%20Lake,%20Lake%20County%20(May%2017,%202010).html","https://iccra.org/bystate/California/images/hiddenvalley1.jpg","formation_image","embedded: Hidden Valley, CA RDF"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Hidden%20Valley%20Lake,%20Lake%20County%20(May%2017,%202010).html","https://iccra.org/bystate/California/images/hiddenvalley2.jpg","formation_image","embedded: Hidden Valley, CA RDF"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Laguna%20Canyon,%20Laguna%20Beach,%20Orange%20County%20(March%209,%201996).html","https://iccra.org/bystate/California/images/Laguna%20Canyon1996a.jpg","formation_image","embedded: Lompoc, CA formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Laguna%20Canyon,%20Laguna%20Beach,%20Orange%20County%20(March%209,%201996).html","https://iccra.org/bystate/California/images/Laguna%20Canyon1996b.jpg","formation_image","embedded: Lompoc, CA formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Lompoc,%20Santa%20Barbara%20County%20(August%2024,%201994).html","https://iccra.org/bystate/California/images/Lompoc1994a.jpg","formation_image","embedded: Lompoc, CA diagram"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Lompoc,%20Santa%20Barbara%20County%20(August%2024,%201994).html","https://iccra.org/bystate/California/images/Lompoc1994b.jpg","formation_image","embedded: Lompoc, CA formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Point%20Dume%20State%20Preserve,%20Malibu,%20Los%20Angeles%20County%20(1973).htm","https://iccra.org/bystate/California/images/PtDume-1973.jpg","formation_image","embedded: Pt. Dume State Preserve 1973 Formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Rockville%20(1),%20Solano%20County%20(June%2028,%202003).html","https://iccra.org/bystate/California/images/rockville2003-1a.jpg","formation_image","embedded: formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Rockville%20(1),%20Solano%20County%20(June%2028,%202003).html","https://iccra.org/bystate/California/images/rockville2003-1b.jpg","formation_image","embedded: formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Rockville%20(1),%20Solano%20County%20(June%2028,%202003).html","https://iccra.org/levengood/CircleScans3/ResearchReportKS-06-09-08Dec2003-SolanoCountyCA.pdf","formation_supporting_document","Report KS-06-09"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Rockville%20(2),%20Solano%20County%20(June%2028,%202003).html","https://iccra.org/bystate/California/images/rockville2003-2a.jpg","formation_image","embedded: formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Rockville%20(2),%20Solano%20County%20(June%2028,%202003).html","https://iccra.org/bystate/California/images/rockville2003-2b.jpg","formation_image","embedded: formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20San%20Francisco,%20San%20Francisco%20County%20(1992).htm","https://iccra.org/bystate/California/images/San%20Francisco1992.jpg","formation_image","embedded: diagram"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Santa%20Rosa,%20Sonoma%20County%20(April%201995).html","https://iccra.org/bystate/California/images/Santa%20Rosa1995.jpg","formation_image","embedded: Lompoc, CA formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Simi%20Valley,%20Ventura%20County%20(June%207,%201996).html","https://iccra.org/bystate/California/images/Simi%20Valley1996.jpg","formation_image","embedded: Simi Valley Happy Face"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Vacaville,%20Solano%20County%20(July%208,%202003).html","https://iccra.org/bystate/California/images/vacaville2003a.jpg","formation_image","embedded: formation"
"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Vacaville,%20Solano%20County%20(July%208,%202003).html","https://iccra.org/bystate/California/images/vacaville2003b.jpg","formation_image","embedded: formation"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20%5BUnknown%5D%20(somewhere%20north%20of%20Los%20Angeles)%20(1975).htm","formation_detail","[Unknown] (somewhere north of Los Angeles), (1975)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20(Northeastern%20Modoc),%20Modoc%20County%20(June%2025,%201996).html","formation_detail","(Northeastern Modoc), Modoc County (June 25, 1996)"
